justify	THERE HAS TO BE SOME TIME SOME PERIOD WHEN THAT IS BEING IMPLEMENTED	BUT WE DO NOT SEE HOW  PUTTING THOSE COMPANIES ABOVE THE PEOPLE IS WHAT WE SHOULD BE DOING
explain	THE LAW DOES NOT WORK IN THE PRIVATE PLACES	BUT AS WE SEE EVERYBODY THAT IS A SMOKER DOES NOT REALLY RESPECT THE OTHERS AND IS THINKING ABOUT HIMSELF AND JUST SAYS I WANT TO SMOKE AND I'M GOING TO DO IT WHATEVER THE CIRCUMSTANCES ARE WHOEVER IS BESIDE ME AND I DON'T CARE
justify	WE'VE SEEN MANY SMOKERS TRYING TO QUIT SMOKING BUT THEY CAN'T 	SOMEHOW YOU KNOW IT'S AN ADDICTION
justify	I THINK THAT IT SHOULD BE BANNED EVERYWHERE	IT IS NOT THE RIGHT OF SOMEONE TO REALLY BE INTO AN OTHER BODY IN OTHER PEOPLES SPACE YOU KNOW
motivate	BUT IF TOBACCO IS EVERYWHERE AND CIGARETTES ARE EVERYWHERE ALLOWED IT'S NOT GOING REALLY TO HELP THE SITUATION	IT'S NOT GOING TO REDUCE THE PEOPLE THAT ARE SMOKERS OR PASSIVE SMOKERS ON THE OTHER HAND
justify	WHAT I REALLY LIKE TO SAY IS THAT WE SHOULD REALLY RESTRICT YOU KNOW PUT STRICT MEASURES HERE	YOU SEE THAT PEOPLE REALLY DON'T GET THE THING OF EDUCATION
explain	YOU SEE THAT PEOPLE REALLY DON'T GET THE THING OF EDUCATION	THE CAMPAIGN'S ARE REALLY YOU KNOW THEY'RE PROPOSE IN ORDER TO EDUCATE PEOPLE BUT PEOPLE OVER ALL DO NOT REALLY WANT TO BE EDUCATED
exemplification	THEY LIKE WHAT IT IS THEY LIKE THAT NOBODY CARES ABOUT WHAT THEY DO GOVERNMENT JUST DOESN'T CARE WHAT THEY DO COMMUNITY DOESN'T CARE ABOUT WHAT THEY DO	WHY SHOULD WE REALLY REDUCE AND YOU KNOW CHANGE THE SITUATION
justify	BUT WE DO NOT WANT THAT TO BE EXTENDED ANYMORE ANY FURTHER	JUST BECAUSE SIMPLY THEY DO HAVE THE RIGHT TO CHOOSE TO BE NEAR SOMEONE OR NOT THAT'S THEIR RIGHT AND THAT'S THEIR CHOICE
exemplification	WE BELIEVE THAT EVEN THOUGH  THERE ARE SOME CURRENT BANS WHICH WE BELIEVE THEY ARE OKAY	FOR EXAMPLE YOU GAVE THE  EXAMPLE WITH THE FAMILY THAT'S THE ISSUE
motivate	FOR EXAMPLE YOU GAVE THE  EXAMPLE WITH THE FAMILY THAT'S THE ISSUE	WE DO NOT WANT THAT A GOVERNMENT SHOULD BE THERE TO TELL THEM OKAY THIS IS A PUBLICS PLACE YOU'RE NOT THERE TO SMOKE
motivate	BUT WE DO NOT WANT THAT TO BE EXTENDED ANYMORE ANY FURTHER	BELIEVE THAT IF IT IS A INTERPERSONAL PROBLEM WE BELIEVE THAT THERE'S NO ROOM FOR THE GOVERNMENT AS WELL
motivate	ACTUALLY WE BELIEVE THAT A CAMPAIGN IS A GREAT WAY TO INFORM THE PUBLIC	OF COURSE A FREEDOM IS ENHANCED WHEN PEOPLE ARE ACTUALLY INFORMED ABOUT WHAT THE IMPLICATIONS OF THE ACTIONS ARE
exemplification	OF COURSE A FREEDOM IS ENHANCED WHEN PEOPLE ARE ACTUALLY INFORMED ABOUT WHAT THE IMPLICATIONS OF THE ACTIONS ARE	YES WE'VE SEEN FOR EXAMPLE GREAT EXAMPLES IN AUSTRALIA WHERE THEY HAVE A QUITE AGGRESSIVE POLICY OF  INFORMING AND ACTUALLY DISPLAYING DISTURBING PICTURES ON THE PACKAGES OF THE OF THE CIGARETTES
motivate	WE'VE SEEN FOR EXAMPLE GREAT EXAMPLES IN AUSTRALIA WHERE THEY HAVE A QUITE AGGRESSIVE POLICY OF INFORMING AND ACTUALLY DISPLAYING DISTURBING PICTURES ON THE PACKAGES OF THE CIGARETTES	WE BELIEVE THAT THAT'S FINE THAT ACTUALLY IS A VERY GOOD MEASURE BUT STILL THE INDIVIDUALS HAVE THE RIGHT TO CHOOSE WHETHER TO SMOKE OR NOT
motivate	WE BELIEVE THAT THE MORE INFORMED WE MAKE THAT CHOICE THE BETTER IT IS	BUT IT STILL IS A CHOICE
exemplification	WHAT WE'VE SEEN DIFFERENT COUNTRIES WITH DIFFERENT POLICIES	LET'S TAKE THE EXAMPLE OF GREECE WHICH IS A COUNTRY WHERE WE  HAVE MORE THAN HALF OF THE POPULATION ACTUALLY BEING SMOKERS
exemplification	WE HAVE MANY OTHER COUNTRIES WHERE THE IT USED TO BE THAT THE PERCENTAGE IS USED TO BE THAT HIGH	FOR EXAMPLE IN BRITAIN
explain	WE BELIEVE THAT SUCH CAMPAIGNS ARE ACTUALLY APPROVED TO WORK	THE CAMPAIGN'S WE HAVE HERE IN GREECE ARE NOT THAT AGGRESSIVE FOR EXAMPLE AS I ONCE I MENTIONED IN AUSTRALIA
justify	THE CAMPAIGN'S WE HAVE HERE IN GREECE ARE NOT THAT AGGRESSIVE FOR EXAMPLE AS I ONCE I MENTIONED IN AUSTRALIA	SO WHICH ACTUALLY HAS BEEN PROVEN TO HAVE A POSITIVE RESULTS
motivate	WE BELIEVE ACTUALLY THAT IT IS THOSE PEOPLE WITH THAT MENTALITY THAT ARE GOING TO IGNORE THE LAWS	BUT EVEN IF THEY ARE WE HAVE THE CURRENT MENTALITY OF THE PEOPLE IS THAT IS EXACTLY THAT OF NOT CARING OF OF NOT TRYING TO LIMIT THEIR SMOKING OR TO WHEN THEY'RE IN THE PRIVATE IN THE PRIVATE PLACE IN ALL THAT
explain	WHAT SEEMS QUITE INTERESTING IN YOUR SPEECH WAS THAT YOU MENTIONED THE EXAMPLE OF PEOPLE BEING OUTSIDE IN THE STREET AND SMOKING THAT BEING THEN GIVING THE BAD EXAMPLE	THE PROBLEM HERE IS THAT IF THEY CONTINUE TO DO THAT WHILE IT IS ILLEGAL IT IS EVEN WORSE
justify	THEY NEVER GET INTO SMOKING	BECAUSE GENERALLY WE KNOW THAT IT IS HARD FOR SMOKERS TO TRANSITION OUT OF SMOKING
motivate	WHAT WOULD BE VERY HELPFUL IS ACTUALLY TRYING TO CHANGE THE MENTALITY OF THE YOUNGER GENERATION	BUT WE ALSO WE BELIEVE THAT THERE ARE SO MANY YOUNG PEOPLE WHO ARE WITH THE CURRENT STATUS QUO THEY'RE SIMPLY GOING TO BECOME SMOKERS
justify	WE BELIEVE THAT WE SHOULD INFACT BAN SMOKING IN PUBLIC PLACES	BECAUSE IT'S BETTER TO VALUE THE HEALTH OF THE MAJORITY THAN THE HEALTH OF THE MINORITY
motivate	WITH THE BAN WE WILL EDUCATE EVERYONE IN OUR SOCIETY THAT WE IN FACT SHOULD NOT SMOKE	A BAN EDUCATES OUR SOCIETY NOT TO DO SOMETHING
justify	WHEREAS A BAN WILL BRING AWARENESS	BECAUSE YOU DON'T NEED TO DO SOMETHING TO LEARN IT'S WRONG
exemplification	YOU DON'T HAVE TO GO AND COMMIT A CRIME	YOU DON'T HAVE TO GO MURDER SOMEONE TO KNOW THAT THAT IS WHY IT IS BANNED
motivate	YOU DON'T NEED TO DO SOMETHING TO LEARN IT'S WRONG	YOU KNOW THAT IT'S BANNED BECAUSE IT'S SOMETHING HARMFUL TO YOUR SOCIETY
motivate	BUT AGAIN THE BAN IS TO EDUCATE WE'RE LOOKING AT THE LONG TERM	SOMETHING DRASTIC WILL LEAD TO A SHIFT IN OUR SOCIETY
explain	IT'S LIKE A SLIPPERY SLOPE EFFECT BUT IN A POSITIVE WAY	WE SEE THAT IF PEOPLE KNOW THAT IT'S WRONG TO SMOKE THEY WILL STOP SMOKING THE LESS THE YOUNGER GENERATIONS SEE OTHER PEOPLE SMOKE THE LESS THEY WILL TOO SMOKE
motivate	THEREFORE WE SEE THAT A BAN IS THE ONLY TRUE WAY TO EDUCATE OUR SOCIETY THAT THIS IS SOMETHING WRONG AND UNWANTED	FOR THE SAKE OF THE MAJORITY OF THE PEOPLE WE SHOULD MAKE SURE THAT MOST PEOPLE DO NOT ACTUALLY SMOKE
justify	BANNING DOES GIVE YOU THE POINT OF WHY YOU SHOULDN'T DO IT	BECAUSE IT'S HARMFUL
motivate	BECAUSE IT'S HARMFUL	AND SAYING THAT WE HAVE SPENT A TWENTY OR THIRTY YEAR PERIOD TRYING TO STOP PEOPLE FROM SMOKING
exemplification	AND SAYING THAT WE HAVE SPENT A TWENTY OR THIRTY YEAR PERIOD TRYING TO STOP PEOPLE FROM SMOKING	WE HAVE FIRST PUT THE THE LABELS ON THE SMOKING PACKETS
cause	SMALL LITTLE ACTIONS HAVE NOT ACTUALLY BROUGHT ABOUT THE CHANGE THAT WE WANT IN OUR SOCIETY	THEREFORE MAYBE IT'S ENOUGH MAYBE ENOUGH IS ENOUGH AND WE HAVE TO GET TOUGH RIGHT NOW
justify	THEREFORE MAYBE IT'S ENOUGH MAYBE ENOUGH IS ENOUGH AND WE HAVE TO GET TOUGH RIGHT NOW	BECAUSE IT'S ACTUALLY THE MOMENT TO TAKE DRASTIC ACTION
exemplification	IT'S THE MOMENT TO SAY THIS IS REALLY A PROBLEM RIGHT NOW	WE SEE THAT THERE ARE COUNTRIES WHERE THERE ARE SIXTY OR SEVENTY PERCENT OF TEENAGERS THAT ARE STARTING TO SMOKE
motivate	WE SEE THAT THERE ARE COUNTRIES WHERE THERE ARE SIXTY OR SEVENTY PERCENT OF TEENAGERS THAT ARE STARTING TO SMOKE	THEREFORE WE SEE THAT THIS PROBLEM IS MORE PREDOMINANT NOW THAN EVER
motivate	WE SUGGEST SAY WE BAN IT FOR THIS REASONS	EVERYONE WILL UNDERSTAND IT THEN
justify	EVERYONE WILL UNDERSTAND IT THEN	BECAUSE THEY WILL KNOW IT'S SOMETHING ILLEGAL SOMETHING ILLEGAL IS SOMETHING THAT PEOPLE  KNOW IS WRONG
explain	SMOKING IS AN ADDICTION AND IT'S WITHIN IT'S NATURE AN ADDICTION	THAT MEANS THAT PEOPLE ARE ACTUALLY LOSING THEIR SELF CONTROL OVER IT THEY CAN'T CONTROL WHAT THEY'RE DOING THEY MIGHT KNOW IT'S WRONG
exemplification	THAT'S A CASE THAT WE HAVE SEEN MANY TIMES	WE HAVE SEEN MANY PEOPLE THAT DON'T ACTUALLY HAVE MONEY BE GOING AND SPENDING MONEY ON SMOKING INSTEAD OF FOOD OR A RENT SIMPLY BECAUSE OF IT'S ADDICTIVE NATURE
explain	WE HAVE SEEN MANY PEOPLE THAT DON'T ACTUALLY HAVE MONEY BE GOING AND SPENDING MONEY ON SMOKING INSTEAD OF FOOD OR A RENT SIMPLY BECAUSE OF IT'S ADDICTIVE NATURE	THEREFORE WE SEE THAT WE CAN EXACTLY SAY TO A PERSON THAT IN SMOKING  AND AS YOU'RE ADDICTED TO IT YOU SHOULD STOP SMOKING AND THEN MAY BE YOU WILL HAVE MORE MONEY BECAUSE HE WILL SAY YES I KNOW THAT BUT I JUST CANNOT HELP IT
justify	THEREFORE A BAN WILL BE DRASTIC THOSE PEOPLE WILL BE ABLE TO CHANGE THEIR LIVES	BECAUSE WITH A BAN THEY WILL KNOW IT'S ILLEGAL THEY WILL STOP DOING IT AND THEN THEY CAN GO SEEK HELP
justify	THEREFORE WE MIGHT BE SAVING ONE BUT WE MIGHT BE HARMING MANY MORE THAT'S WHY WE NEED SOMETHING DRASTIC	BECAUSE WE GET THAT THERE ARE PEOPLE THAT HAVE BEEN ON THIS ROLLERCOASTER COASTER LET'S CALL IT FOR MANY YEARS BUT THERE ARE PEOPLE THAT ARE JUST COMING INTO IT RIGHT NOW
motivate	WE SHOULD STOP IT FOR BOTH OF THEM	AND THAT'S WHY A BAN WILL AFFECT ALL OF THE AGES THAT MIGHT BE AFFECTED FROM SMOKING
motivate	THEREFORE A BAN WILL STOP THEIR PEERS FROM DOING IT	THEREFORE WE WILL ELIMINATE THE PEER PRESSURE FOR THEM TO START SMOKING
justify	THEY KNOW IT'S HARMFUL	THEY HAVE BEEN EDUCATED TO KNOW IT'S HARMFUL JUST LIKE THEY KNOW IT'S NOT RIGHT TO BE A RACIST
justify	THEREFORE A BAN WILL STOP THEIR PEERS FROM DOING IT	THEY ARE JUST PRESSURED TO DOING IT BECAUSE IT'S SOMETHING LEGAL FOR NOW IF IT'S ILLEGAL THEN THEY WILL SIMPLY SAY NO I WILL NOT DO THIS
justify	BUT AGAIN WE STAND IN TWO DIFFERENT OCCASIONS	BECAUSE YOU BELIEVE THAT SLOWLY THEY MIGHT ADJUST WHEREAS WE SEE THAT SLOWLY THEY DON'T ADJUST AND THAT'S WHY WE SHOULD BAN IT
motivate	HOW ARE YOU REALLY GOING TO EDUCATE PEOPLE FROM NOT DOING SUCH A THING AS SMOKING  WHEN YOU DON'T REALLY GIVEN THE CHANCE TO EDUCATE TO REALIZE WHAT'S THE HARM IN ALL THIS  WHAT'S THE PROBLEM WHAT ARE THE DANGERS	IF YOU DO NOT EDUCATE THEM YOU'RE REALLY YOU KNOW MAKE IT MORE SOMEHOW INTRIGUING TO SMOKE
justify	IF YOU DO NOT EDUCATE THEM YOU'RE REALLY YOU KNOW MAKE IT MORE SOMEHOW INTRIGUING TO SMOKE	BECAUSE YOU KNOW FORBIDDEN IS MORE INTRIGUING
motivate	BUT PEOPLE  REALLY DO NOT DO ACTIONS LIKE CRIMES OR MURDERS BECAUSE THEY ARE AFRAID OF THE CONSEQUENCES	BUT HERE THERE WILL BE NO CONSEQUENCE OR EVEN YOU KNOW A SIMPLE FINE AND THAT'S IT
exemplification	I THINK WE SHOULD REALLY TRY TO EDUCATE PEOPLE	YOU KNOW PERHAPS BAN SMOKING FROM CAFETERIAS OR  RESTAURANTS OR YOU KNOW PLACES THAT LOTS OF PEOPLE ARE GATHERED
motivate	IT SHOULD BE HAPPENING IN A LONG TIME	PEOPLE REALLY TRY TO LIVE WITH THE IDEA AND A SITUATION THAT SMOKING IS NOT A GOOD THING TO DO
motivate	I THINK THAT WITH THE CAMPAIGNS AND THE POSTERS AND ALL THAT WE REFERRED FOR REALLY SHOULD HELP THE SITUATION	FORBIDDING SOMEONE FROM DOING SOMETHING DOES NOT REALLY GIVE HIM THE POINT OF WHY HE SHOULDN'T DO IT
motivate	WHY SHOULDN'T WE EXTEND THAT FOR EVEN FIVE YEARS AND THEN TAKE SUCH STRICT  MEASUREMENTS	BECAUSE LET'S SPEND FIVE YEARS ON CAMPAIGNS A LOT OF MESSAGES SO THAT PEOPLE REALLY CAN UNDERSTAND WHY THIS ACTION IS ACTUALLY ILLEGAL
justify	TRY TO PREPARE THEM AND THEN GIVE THE STRICT MEASUREMENT	BECAUSE THEN IF THEY'RE EDUCATED THEN THEY WILL REALIZE WHY SHOULD THEY GET ILLEGAL OR NOT
exemplification	YOU KNOW IT'S DIFFICULT TO DO THAT FOR ALL AGES	YOUNG PEOPLE REALLY DON'T PAY ATTENTION TO WHAT IS HARMFUL FOR THEMSELVES
motivate	IF THEY'RE NOT EDUCATED THEY DO NOT REALLY GET THE HONESTY OF YOUR WORDS	THEY DON'T REALLY GET YOUR POINT THEY DON'T REALLY UNDERSTAND WHY IT IS AFFECTING THEM AND THEIR LIVES THEY WILL JUST CONTINUE ON YOU KNOW THROWING THEMSELVES INTO IT AND JUST  START SMOKING A MORE AND MORE AND MORE EACH DAY
justify	HOW CAN YOU PERSUADE A TEENAGER TO REALLY QUIT AN ACTION IF YOU DON'T REALLY EDUCATE HIM ABOUT ITS HARMFULNESS	BUT BANNING SMOKING IS NOT REALLY GOING TO GIVE THEM THE CHANCE TO UNDERSTAND WHY THEIR ACTION IS HARMFUL
justify	SO WHY ARE WE PROPOSING	WE ARE PROPOSING THAT BECAUSE WE BELIEVE THAT IN THE SECOND WE THINK WE ARE A STATE THAT CARES ABOUT THE FUTURE HEALTH OF THE ITS CITIZEN THAT WE ARE SENSITIVE ABOUT REDUCING THE COST OF HEALTH CARE IN THE FUTURE
justify	WE ARE PROPOSING TO BAN SMOKING IN ALL PUBLIC PLACES	SINCE ESPECIALLY IN COUNTRIES OF WESTERN EUROPE IT IS VERY COMMON THAT THERE ARE SMOKERS OR PUBLIC PLACES THAT ACTUALLY ARE HARMING INDIVIDUALS THAT ARE NONSMOKERS
motivate	SINCE ESPECIALLY IN COUNTRIES OF WESTERN EUROPE IT IS VERY COMMON THAT THERE ARE SMOKERS OR PUBLIC PLACES THAT ACTUALLY ARE HARMING INDIVIDUALS THAT ARE NONSMOKERS	AND EVEN IF FIRST HAND SMOKERS ARE AWARE OF THE CONSEQUENCES IT IS JUST A HABIT TO THEMSELF THAT WILL NEGATIVELY AFFECT THEIR HEALTH
motivate	WHERE IS THE SUPPOSITION OF THE MAIN ARGUMENT OF THE GOVERNMENT THAT SMOKING IN EVEN FOR FIRST TIME SMOKERS IS A VERY BAD THE HABIT	AND WE SHOULD AS A GOVERNMENT THAT CARES FOR ITS CITIZENS DO THE BEST WE CAN SO THAT THEY DO NOT INHERIT SUCH A BAD HABIT
justify	WELL THE GOVERNMENT IS INTERFERING NOT IN EVERY POSSIBLE ASPECT OF THEIR LIFE FOR AN INDIVIDUAL CITIZENS IT JUST INTERVENE IN WHAT IT BELIEVES IT CAUSES HARM	AND THUS THIS OPPOSITION  LIKES SCIENTIFIC STUDIES THERE ARE PLENTY OF SCIENTIFIC STUDIES MAJOR SCIENTIFIC STUDIES THAT SHOW HOW HARMFUL FIRST HAND SMOKING IS AND WHY WE SHOULD PROTECT OUR CITIZEN
motivate	AND THUS THIS OPPOSITION  LIKES SCIENTIFIC STUDIES THERE ARE PLENTY OF SCIENTIFIC STUDIES MAJOR SCIENTIFIC STUDIES THAT SHOW HOW HARMFUL FIRST HAND SMOKING IS AND WHY WE SHOULD PROTECT OUR CITIZEN	BECAUSE IF WE PROTECT OUR CITIZENS FIRST OF ALL WE ESTABLISHMENT SOME MENTALITY FOR FUTURE GENERATIONS
justify	SO THE OPPOSITION PROPOSES A REALITY WHERE AN INDIVIDUAL WILL BE FORCED TO PASSED OUTSIDE FROM A BUILDING THAT THE WORKERS ARE HAVING LUNCH BREAK SO THERE WOULD BE ONE HUNDREDFIFTY SMOKERS THERE AND THEY WILL HAVE TO GO THROUGH THAT CLOUD OF SMOKE	WHY BECAUSE WELL SMOKERS ARE ALLOWED TO SMOKE IN PUBLIC PLACES OR IN THE OUTER WORLD
justify	SECOND HAND SMOKERS SHOULD NOT BE FORCED AND FOR NO REASON SHOULD BE FORCED TO SMOKE THIS EVEN THEY CONTROL IT POISON	WHY BECAUSE THEY ARE MAYBE FIRST HAND SMOKERS ARE AWARE OF THE HARM THEY CAUSE WITH THEMSELF BUT THEY DO NOT CARE
justify	CARS ARE NOT THE SAME	CARS HELP US MOVE HELP US TRANSPORT OURSELVES TO CERTAIN  LOCATIONS WITHOUT ACTUALLY HAVING THE PERCENTAGE OF CO2 FIRST OF ALL GOES UP TO 25 KILOMETERS IN THE AIR IN THE STRATOSPHERE
justify	CARS ARE NOT THE SAME	AND SECOND OF ALL THESE CARS ARE SERVING A PURPOSE THEY ARE PRACTIAL
motivate	CARS HELP US MOVE HELP US TRANSPORT OURSELVES TO CERTAIN LOCATIONS WITHOUT ACTUALLY HAVING THE PERCENTAGE OF CO2 FIRST OF ALL GOES UP TO 25 KILOMETERS IN THE AIR IN THE STRATOSPHERE	AND AS WELL CARS ARE SUMMING THE CO2 THAT THING DOES NOT NECESSARILY HARM A HUMAN BEEING
justify	AND AS WELL CARS ARE SUMMING THE CO2 THAT THING DOES NOT NECESSARILY HARM A HUMAN BEEING	CO2 IS BAD FOR THE PHENOMENOM OF GASES BUT HOWEVER  IT IS NOT DIRECTLY BAD FOR HUMANS
motivate	HOWEVER AND ALSO BY NOT ALLOWING THE SMOKERS TO SMOKE IN PUBLIC ARES WE ARE INDIRECTLY LOWERING THE PERCENTAGE OF SMOKERS IN OUR SOCIETY SINCE THEY HAVE TO LIMIT IT	AND AGAIN IF SOMEONE IS ABLE TO LIMIT THAT PERCENTAGE TO LIMIT THE CONSUMPTION OF CIGARETTES  OF HOW MUCH HE SMOKES IN A DAY WE ARE ABLE ACTIVELY CREATE AN ENVIRONMENT WITH LESS HEALTH ISSUES THAT REDUCE COST FOR THE GOVERNMENT TO CURE THE CITIZEN WHEN THEY HAVE HEALTH ISSUES
explain	AND THE GOVERNMENT THE PARTY OF THE GOVERNMENT HAS COME HERE TO SAY THAT THE ONLY WAY OF PROTECTING THAT WHEN IT COMES TO SMOKING IS BANNING IT IN TOTAL IN PUBLIC PLACES	AND LET ME ANNOUNCE MYSELF IN TELLING TO YOU HOW IS THIS SO BAD AND HOW THIS CAN LEAD TO DEFLOODKYS AGRUMENT
explain	WOULD YOU ALLOW THE GOVERNMENT TO INTERVENE IN YOUR EVERDAY LIFE IN EVERY PART AND EVERY ASPECT OF YOUR LIFE	WE HAVE STARTET TO GIVE SO MUCH POWER TO THE GOVERNMENT AND TO THE AREAS OF THE GOVERNMENT THAT IT HAS A SAY
exemplification	WE HAVE STARTET TO GIVE SO MUCH POWER TO THE GOVERNMENT AND TO THE AREAS OF THE GOVERNMENT THAT IT HAS A SAY	AND THIS IS A VERY GOOD EXAMPLE OF A CASE IN WHICH THE GOVERNMENT INTERVENES BY IMPLEMENTING TOTAL BAN IN PUBLIC SPACES WHEN THEY DO NOT HAVE AN ARGUMENT BY ITSELF THEY REFER TO ABSTRACT THINGS THAT DO THE PUBLIC GOOD
exemplification	WHEN THEY DO NOT HAVE AN AGRUMENT BY ITSELF THEY REFER TO ABSTRACT THINGS THAT DO THE PUBLIC GOOD	SUCH AS THE PUBLIC HEALTH CARE SUCH HOW THE SECOND HAND SMOKE CAN EVEN AFFECT IN OPEN PLACES
justify	AND WE BELIEVE THAT THE STATE SHOULD HAS AS MINIMAL IMPACT ON OUR LIFE AS THEY SHOULD IN A LIBERTARIAN SOCIETY THAT WE'RE LIVE	IN ADEQUACY OF THE SCIENTIFIC FACTUAL INFORMATION
motivate	AND WE BELIEVE THAT THE STATE SHOULD HAS AS MINIMAL IMPACT ON OUR LIFE AS THEY SHOULD IN A LIBERTARIAN SOCIETY THAT WE'RE LIVE	AND ON THE OTHER THE DESIRE OF THE GOVERNMENT TO INTERVENE WITHOUT JUSTIFICATION TO YOUR EVERY DAY LIFE
justify	THEN THE GOVERNMENT SHOULD ACCEPT UP TO A POINT THE RIGHTS THAT THEY HAVE WHICH IS TO SMOKE OF COURSE NOT IN AN ENCLOSED AREA BUT OUTSIDE IN THE COLD IN THE WINTER OR OUTSIDE IN THE HOT GREEK SUMMER	SINCE THIS PEOPLE HAVE CHOSEN WHAT THEY WANT AND HAVE UNDERSTOOD THE CONSEQUENCES OF THEIR ACTIONS
motivate	AND ON THE OTHER HAND TAKING TO THE WHOLE ACCOUNT OF HOW THE WHOLE CITY CAN ACTUALLY SUSTAIN IT AND DO NOT HAVE SMOKE ROAMING IN OUR STREETS YOU COULD ALSO BAN CARS FOR PRODUCING CO2	WHICH IS ACTUALLY ALSO A LOW PRESSURE ELEMENT WHICH STAYS IN THE ATMOSPHERE WHICH CREATES THE GASES THAT STAY VERY CLOSE TO US ESPECIALLY DURING THE WINTER AND CAUSING LUNG PROBLEMS TO THE PEOPLE WHO HAVE PREDISPOSITION
explain	WE HAVE A FUNDAMENTALLY DIFFERENT PERCEPTION OF HOW THIS CAN BE ACHIEVED	THEN THE GOVERNMENT HAS COME HERE AND SAYS WE SHOULD TOTALLY BAN IT AND WE TOTALLY CALL THIS AN INADEQUATE MEASURE BECAUSE IT DOESN'T DEAL WITH THE SOURCE
exemplification	THEN THE GOVERNMENT HAS COME HERE AND SAYS WE SHOULD TOTALLY BAN IT AND WE TOTALLY CALL THIS AN INADEQUATE MEASURE BECAUSE IT DOESN'T DEAL WITH THE SOURCE	IT'S LIKE IN AMERICA IN ORDER FOR YOU TO STOP THE ARMED ROBBERYS OR THE ARMED CRIMES YOU BAN THE SELLING OF GUNS THAT IS TOTALLY THE FALSE MENTALITY
motivate	YOU SHOULD TACKLE THE REAL ISSUE AND THE REAL ISSUE IS THE MENTALITY OF THE PEOPLE WHO SMOKE	THIS CAN ACTUALLY BE DONE AS YOU HAVE SEEN IN THE THIRTY LAST YEARS WHEN YOU HAVE A PERCENTAGE OF POPULATION THAT SMOKES THAT WAS SORT OF FORTY PERCENT AND NOW IT IS THIRTY PERCENT AND IT IS CONSTANTLY DROPPING
justify	WE DO NOT SEE WHY WE SHOULD GIVE THE GOVERNMENT THE RIGHT TO DO AS IT LIKES	WITHOUT HAVING SUBSTANTIAL SCIENTIFIC FACTUAL INFORMATION TO BAN THE CHOICE
justify	I THINK THAT THIS IS A POLITICAL SENTIMENTS VALUE OF OUR GOVERNMENT IN OUR OF STATE THAT THE SMOKERS SHOULD NOT BE ALLOWED TO SMOKE INSIDE IN AN ENCLOSED AREA	BECAUSE THERE IS RISK AGAIN THE PEOPLE WHO DO NOT SMOKE FROM SECOND HAND SMOKE
justify	AND ON THE NAME OF THAT RISK WE CALL FOR THE TOTAL BAN	OUR SCIENTIFIC FACTS HAVE ACTUALLY PROVEN THAT THE SAME APPLIES TO THE OUTSIDE SPACE AS YOU HAVE THE RISK INSIDE YOU OF COURSE HAVE A LESS RISK OUTSIDE BUT THE RISK IS ALSO PRESENT
motivate	BUT THE PROBLEM WITH EDUCATION THAT IS PROPOSED AS THE ULTIMATE MEASURE AGAINST EVERY HARASSMENT OR EVERY PROBLEM FOR SOCIETY DOES TAKE TIME	AND THE TIME THAT WE SPEND IN EDUCATION THAT OF COURSE WE SHOULD SPEND THE MONEY THAT WE SHOULD GIVE WILL NOT ANY IMPACT IN TWENTY OR THIRTY YEARS INTERNAL STRUGGLES THE EXTREME AN IMMEDIATE PROBLEM
exemplification	IT'S JUST LIKE SAYING THAT IN A PUBLIC SPACE YOU CANNOT GO TO THAT SIDE BECAUSE THAT SITE HAS A PROBLEM WITH YOUR HEALTH	FOR EXAMPLE WHEN I WANT TO TAKE A BATH IN ONE OF THE BEAUTIFUL BEACHES OF GREECE AND I SEE THAT THE ONE IS FULL OF A OF RUBBISH I CANNOT GO THERE
exemplification	SO AGAINST PRACTICALLY THIS AND LET ME BACK UP THIS POINT BY USING TWO EXAMPLES	THE FIRST EXAMPLE COMES WHEN THE LAW CONCERNING THE BAN ON SMOKING IN ENCLOSED PUBLIC AREAS BECAUSE PAST ON THE FIRST PLACE
explain	BUT YOU SEE THAT DAY BY DAY IT IS ENFORCED BY THE PEOPLE BY THEMSELVES	AND THIS IS HOW THE LAWS CONTAINS THE MENTALITY AND WE SEE THAT KIND OF MENTALITY FAINT AND WE SEE THAT KIND OF THE WORKING ALL BY THE FACT THAT YOU HAVE A PUBLIC BECOME AWARE OF THE PROBLEM BY THE WAY OF ENFORCING THE LAW
exemplification	SO AGAINST PRACTICALLY THIS AND LET ME BACK UP THIS POINT BY USING TWO EXAMPLES	AND THE SECOND ARGUMENT AND MORE BASIC THAT WE SHOULD NOT PASS LAWS IF WE CANNOT ENFORCE THEM
motivate	AND THIS IS WHAT OUR GOVERNMENT SAY THAT OF COURSE WE SAY THAT THIS IS A STEP FORWARD BUT IT IS STEP FORWARD ALL TO INFORMING UP TO A POINT INFORMING TAKES TIME AND WE ARE SHORT OF TIME	BECAUSE ON THE ONE HAND YOU SEE PEOPLE DIE AND YOU SEE ALSO AN EXTREMELY BIG AMOUNT OF MONEY SPEND IN THE NATIONAL HEALTHCARE SYSTEM TO EXACTLY STOP THIS PROBLEM
