THERE HAS TO BE SOME TIME SOME PERIOD WHEN THAT IS BEING IMPLEMENTED	BUT WE DO NOT SEE HOW  PUTTING THOSE COMPANIES ABOVE THE PEOPLE IS WHAT WE SHOULD BE DOING
I  THINK ITS THE FIRST STEP TO ACTUALLY BANNING IT IN PUBLIC PLACES BANNING  IT WHERE IT CAN HARM WHERE IT CAN CREATE A ROLE MODEL OF SMOKERS THAT CAN BE IMMITATED BY CHILDREN BY TEENAGERS	PEOPLE WHO DON'T SMOKE AND MY POTENTIALLY BECOME SMOKERS
JUST BECAUSE I HAVE NOT ACTUALLY CHOSEN TO SMOKE THAT  DOES NOT MEAN THAT I HAVE THE RIGHT TO LIMIT SOMEONE ELSE FROM THE RIGHT TO SMOKE	AND THAT'S WHY A BAN ON SMOKING WOULD BE ACTUALLY LEAD TO A STATE  THAT DOES NOT ACTUALLY VALUE THE OPINION OF ITS CITIZENS THAT DOES NOT VALUE THEIR CHOICES
AND THAT'S WHY A BAN ON SMOKING WOULD BE ACTUALLY LEAD TO A STATE  THAT DOES NOT ACTUALLY VALUE THE OPINION OF ITS CITIZENS THAT DOES NOT VALUE THEIR CHOICES	AND IF THEIR CHOICES ARE TO SMOKE EVEN THOUGH THEY KNOW THE BAD CONSEQUENCES OF IT  THEN WE DONT ACTUALLY AS A SOCIETY HAVE A RIGHT TO STOP THAT FROM HAPPENING IN PUBLIC PLACES
AND THE SAME WAY THIS IS WHAT THE NON SMOKER SHOULD DO FOR THE SMOKER	THEY SHOULD RESPECT THEIR CHOICE
BECAUSE OF WHAT WE SEE IN OUR SOCIETY IS THE FACT THAT WE HAVE SMOKERS AND NONSMOKERS	AND THE CHOICE OF ONE DOES NOT LIMIT THE CHOICE OF THE OTHER
AND AIR DOES TRAVEL AND WE CANNOT CHANGE THAT	IT'S SOMETHING THAT IS JUST GONNA BE THAT WAY ANYWAY
BUT WE A BAN IS A COMPLETELY DIFFERENT THING	A BAN MEANS THAT AS A STATE I WONT ALLOW YOU TO WHAT YOU CHOSE TO DO
BUT  IF YOU ACTUALLY LOOK AT THE  RESTRICTED AREAS IN ALMOST  EVERY SINGLE EUROPEAN COUNTRIES THAT DIFFERENCE BETWEEN THE TWO AREAS IS THAT ONE IS OUTSIDE AND THE OTHER ONE IS INSIDE	THEREFORE A NON SMOKER CAN STAY INSIDE THE RESTAURANT
AND THAT IS HOW THEY THE SMOKER AND THE NON SMOKER WILL NOT INTERMINGLE	AND THE HEALTH OF ONE WILL NOT AFFECT THE HEALTH OF THE OTHER
AND THAT IS NOT SOMETHING WE'RE  IN FAVOR OF	WE'RE IN FAVOR OF LIMITATIONS
BECAUSE IN THAT CASE WE ARE  HARMING A WHOLE  INDUSTRY	WE ARE NOT ONLY HARMING THE TOBACCO INDUSTRY
WE ARE NOT ONLY HARMING THE TOBACCO INDUSTRY	WE ARE ALSO HARMING THE PERSON THAT IT'S ACTUALLY SELLING THAT PRODUCT
AND WHAT  WE SEE IN THAT SENSE IS THAT WE HAVE TWO CONTRADICTORY FORCE	WE HAVE THE  HEALTH OF THE STUDENTS WHICH IF THEY WANT TO SMOKE THEY WILL GO TO A PLACE THAT SELLS TOBACCO FURTHER FURTHER AWAY FROM THEIR SCHOOL WHERE IT WILL BE ALLOWED
BUT REGULATIONS DO EXIST	WE HAVE REGULATIONS AND WHERE YOU CAN BUY TOBACCO  AND WHAT AGE YOU SHOULD BE WHEN YOU ARE ALLOWED TO BUY TOBACCO
WE'RE HERE TO PROPOSE A BAN ON SMOKING IN PUBLIC PLACES SPECIFICALLY PUBLIC PLACES INDOORS OR OUTDOORS	AND WE BELIEVE THAT SUCH A BAN  WOULD  BE BENEFICIAL TO ALL THOSE PEOPLE WHO DO NOT HAVE A CHOICE ALL THOSE PASSIVE SMOKERS WHO GET EXPOSE TO SMOKE WHICH WE ALL KNOW THAT IT IS CARCINOGENIC
OFFICIALLY WE BELIEVE THAT THE CURRENT POLICIES ARE INCOMPLETE	IT IS NOT LIMITED TO OUR CHOICE
EXACTLY WE BELIEVE THAT   EXACTLY BECAUSE WE CAN'T SEPERATE SMOKERS FROM NON SMOKERS	THAT'S EXACTLY WE SHOULD BAN IT FOR ALL
EXACTLY BECAUSE IT CANNOT BE SEPERATED	THE NON SMOKERS ARE EXPOSED TO THE SMOKE OF THE  SMOKERS
WHEN WE DO NOT SEE HOW THIS WOULD BE BENEFICIAL FOR THEM	AND HOW THIS IS NOT VIOLATING THE RIGHT
BECAUSE IF A STATE CANNOT IMPLEMENT  IT'S OWN LAWS THEN EVERY INSTANCE SHOULD BE QUESTIONED	AND   EXACTLY STARTING TO LOSE ITS POWER
SO WHEN YOU HAVE SPECIFIC LAWS YOU HAVE TO IMPLEMENT THEM	AND SO WHAT THAT MEANS IT'S NOT THAT WE SHOULD ONLY ON IMPLEMENTING THE SPECIFIC LAWS
BECAUSE THE ARE ALL THOSE PASSIVE SMOKERS THERE	AND  WHO HAVE EXACTLY  THEIR RIGHTS VIOLATED
BECAUSE IT'S NOT ONLY A MATTER OF THE OF THE SMOKER OR THE OWNER OF THE BUSINESS	IT'S A MATTER OF EVERYONE
BUT BESIDES THAT OK WE GET THAT MANY NON SMOKERS ACTUALLY MAKE THE CHOICE THEY ARE ACTUALLY CHOOSING TO BE WITH THE SMOKERS AND THAT'S FINE	BUT THAT'S FINE  WHEN IT'S IN PRIVATE PLACES  WHEN YOU YOU KNOW YOU ARE EXACTLY YOU TAKE THAT RISK YOURSELF
BECAUSE YOU HAVE THIS  POSSIBILITY OF ALL THE PEOPLE OVER THERE	AND MANY PEOPLE MAY NOT ACTUALLY WANT TO REACT MAY NOT  THEY DON'T WANT TO SEEM BAD
BUT THAT DOES NOT MEAN THAT THEY WANT THAT HAPPEN OR THAT THEY LIKE THEY LIKE BEING EXPOSED	SO THAT SO WE BELIEVE THAT THE STATE  SHOULD BE THERE TO ACTUALLY TO HAVE THAT  SPECIFIC LINE THIS LINE WHICH SHOULD NOT BE CROSSED
SO THAT SO WE BELIEVE THAT THE STATE  SHOULD BE THERE TO ACTUALLY TO HAVE THAT  SPECIFIC LINE THIS LINE WHICH SHOULD NOT BE CROSSED	THAT IS THE LINE BETWEEN PRIVATE AND PUBLIC PLACES
BECAUSE FROM OURSIDE WANT IT SOUNDS LIKE IS LIKE A MODERATION IN SMOKING IN PUBLIC PLACES	IT'S LIKE WE'RE TAKING ABOUT IMPLEMENTING POLICIES THAT ALREADY EXISTS
IN WHAT FORM FOR EXAMPLE I UNDERSTAND THE INDOORS THE POLICY IS SEPARATING THE SMOKERS FROM THE NON SMOKER THAT'S THE POLICE THAT ALREADY EXISTS	 THAT'S WHAT RESTAURANTERS  THAT'S WHAT OWNERS OF CAFES BARS DO
AND  GOING TO THE POLICE FORCE IS	I THINK  ITS A BIT OF A WASTE OF MANPOWER
BUT WE HAVEN'T BANNED DRIVING	WHAT WE DID WAS BANNING IT IN SPECIFIC AREAS IN THE CENTER OF A TOWN FOR EXAMPLE
FOR EXAMPLE IN BRITAIN	THERE USED TO BE EVEN A FEW DECADES AGO OVER FIFTY OVER FIFTY PERCENT
